iteration,encoding,cut,strategy,instance,timetotal,timesolving,optimum,backlog,inventary,n_processed_materials
0,lin,with,bb,real,TO,TO,unknown,743,3,100
0,lin,without,bb,real,TO,TO,unknown,4653,0,43
0,trivial,with,bb,real,TO,TO,unknown,982,0,96
0,trivial,without,bb,real,TO,TO,unknown,1779,0,88
0,lin,with,bb,real_c,TO,TO,unknown,925,17,100
0,lin,without,bb,real_c,TO,TO,unknown,2240,26,76
0,trivial,with,bb,real_c,TO,TO,unknown,1098,80,100
0,trivial,without,bb,real_c,TO,TO,unknown,2032,7,85
0,lin,with,bb,real_d,TO,TO,unknown,2020,7,100
0,lin,without,bb,real_d,TO,TO,unknown,4053,5,75
0,trivial,with,bb,real_d,TO,TO,unknown,2096,0,100
0,trivial,without,bb,real_d,TO,TO,unknown,2818,1,86
0,lin,with,bb,real_h,602.462,600.28,yes,0,47,66
0,lin,without,bb,real_h,TO,TO,unknown,0,52,66
0,trivial,with,bb,real_h,655.213,633.75,yes,0,47,66
0,trivial,without,bb,real_h,1456.123,1434.14,yes,0,47,66
0,lin,with,bb,real_o,776.787,773.99,yes,2399,0,100
0,lin,without,bb,real_o,TO,TO,unknown,2791,0,94
0,trivial,with,bb,real_o,TO,TO,unknown,2399,0,100
0,trivial,without,bb,real_o,TO,TO,unknown,4623,0,65
1,lin,with,bb,real,TO,TO,unknown,1270,0,100
1,lin,without,bb,real,TO,TO,unknown,2474,0,74
1,trivial,with,bb,real,TO,TO,unknown,1456,0,100
1,trivial,without,bb,real,TO,TO,unknown,3219,0,69
1,lin,with,bb,real_c,TO,TO,unknown,871,98,100
1,lin,without,bb,real_c,TO,TO,unknown,2426,5,66
1,trivial,with,bb,real_c,TO,TO,unknown,937,64,100
1,trivial,without,bb,real_c,TO,TO,unknown,3127,0,68
1,lin,with,bb,real_d,TO,TO,unknown,1804,0,100
1,lin,without,bb,real_d,TO,TO,unknown,5010,0,55
1,trivial,with,bb,real_d,TO,TO,unknown,2012,0,100
1,trivial,without,bb,real_d,TO,TO,unknown,4780,0,65
1,lin,with,bb,real_h,689.165,686.99,yes,0,51,71
1,lin,without,bb,real_h,1795.911,1793.55,yes,0,51,71
1,trivial,with,bb,real_h,TO,TO,unknown,0,59,71
1,trivial,without,bb,real_h,1562.147,1540.02,yes,0,51,71
1,lin,with,bb,real_o,891.270,888.49,yes,2399,0,100
1,lin,without,bb,real_o,TO,TO,unknown,2791,0,94
1,trivial,with,bb,real_o,TO,TO,unknown,2399,0,100
1,trivial,without,bb,real_o,TO,TO,unknown,4623,0,65
2,lin,with,bb,real,TO,TO,unknown,574,7,100
2,lin,without,bb,real,TO,TO,unknown,877,6,96
2,trivial,with,bb,real,TO,TO,unknown,705,2,98
2,trivial,without,bb,real,TO,TO,unknown,2907,6,67
2,lin,with,bb,real_c,TO,TO,unknown,638,25,100
2,lin,without,bb,real_c,TO,TO,unknown,2429,0,74
2,trivial,with,bb,real_c,TO,TO,unknown,901,28,97
2,trivial,without,bb,real_c,TO,TO,unknown,1536,19,89
2,lin,with,bb,real_d,TO,TO,unknown,1555,0,100
2,lin,without,bb,real_d,TO,TO,unknown,4127,0,56
2,trivial,with,bb,real_d,TO,TO,unknown,1615,0,99
2,trivial,without,bb,real_d,TO,TO,unknown,3273,0,77
2,lin,with,bb,real_h,732.978,730.77,yes,0,59,68
2,lin,without,bb,real_h,TO,TO,unknown,0,63,68
2,trivial,with,bb,real_h,1645.615,1623.96,yes,0,59,68
2,trivial,without,bb,real_h,TO,TO,unknown,0,63,68
2,lin,with,bb,real_o,TO,TO,unknown,1609,4,100
2,lin,without,bb,real_o,TO,TO,unknown,4149,0,71
2,trivial,with,bb,real_o,TO,TO,unknown,1710,0,100
2,trivial,without,bb,real_o,TO,TO,unknown,1940,2,94
3,lin,with,bb,real,TO,TO,unknown,501,15,100
3,lin,without,bb,real,TO,TO,unknown,2420,8,77
3,trivial,with,bb,real,TO,TO,unknown,645,12,100
3,trivial,without,bb,real,TO,TO,unknown,2783,0,73
3,lin,with,bb,real_c,TO,TO,unknown,812,42,100
3,lin,without,bb,real_c,TO,TO,unknown,1354,20,92
3,trivial,with,bb,real_c,TO,TO,unknown,923,39,99
3,trivial,without,bb,real_c,TO,TO,unknown,2484,16,69
3,lin,with,bb,real_d,TO,TO,unknown,1809,0,100
3,lin,without,bb,real_d,TO,TO,unknown,5175,0,55
3,trivial,with,bb,real_d,TO,TO,unknown,1858,0,100
3,trivial,without,bb,real_d,TO,TO,unknown,3765,0,73
3,lin,with,bb,real_h,1088.712,1086.51,yes,0,55,62
3,lin,without,bb,real_h,TO,TO,unknown,0,86,62
3,trivial,with,bb,real_h,TO,TO,unknown,0,64,62
3,trivial,without,bb,real_h,TO,TO,unknown,0,57,62
3,lin,with,bb,real_o,TO,TO,unknown,1851,0,100
3,lin,without,bb,real_o,TO,TO,unknown,5388,0,50
3,trivial,with,bb,real_o,TO,TO,unknown,1827,0,100
3,trivial,without,bb,real_o,TO,TO,unknown,4837,0,63
4,lin,with,bb,real,TO,TO,unknown,457,11,100
4,lin,without,bb,real,TO,TO,unknown,1916,0,79
4,trivial,with,bb,real,TO,TO,unknown,700,0,96
4,trivial,without,bb,real,TO,TO,unknown,1920,0,80
4,lin,with,bb,real_c,TO,TO,unknown,504,187,100
4,lin,without,bb,real_c,TO,TO,unknown,776,120,97
4,trivial,with,bb,real_c,TO,TO,unknown,696,253,98
4,trivial,without,bb,real_c,TO,TO,unknown,1543,24,77
4,lin,with,bb,real_d,TO,TO,unknown,1421,0,100
4,lin,without,bb,real_d,TO,TO,unknown,2338,0,90
4,trivial,with,bb,real_d,TO,TO,unknown,1541,0,100
4,trivial,without,bb,real_d,TO,TO,unknown,2607,0,85
4,lin,with,bb,real_h,158.938,156.74,yes,0,61,67
4,lin,without,bb,real_h,827.927,825.55,yes,0,61,67
4,trivial,with,bb,real_h,TO,TO,unknown,0,65,67
4,trivial,without,bb,real_h,759.275,737.12,yes,0,61,67
4,lin,with,bb,real_o,TO,TO,unknown,2372,0,100
4,lin,without,bb,real_o,TO,TO,unknown,3572,29,87
4,trivial,with,bb,real_o,TO,TO,unknown,2372,0,100
4,trivial,without,bb,real_o,TO,TO,unknown,3716,0,82

